Company,City,State,Logo,Description,CB_Rank,Funding_Rounds,Funding_Status,Last_Funding_Date,Last_Funding_Amount,Last_Funding_Type,Total_Funding_Amount,Total_Employees,Top_5_Investors,Total_Investors,Total_Acquisitions,IPO_Status,Stock_Symbol
Indigo,Boston,Massachusetts,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/lqepihizylggrezlggrl","Indigo uses natural microbiology and digital technologies to improve grower profitability, sustainability, and consumer health.",1956,11,Late Stage Venture,"Aug 3, 2020",360000000,Series F,1169000000,1001-5000,"Baillie Gifford, G Squared, FedEx, Alaska Permanent Fund, Olive Tree Capital",12,1,Private,—
Apeel Sciences,Goleta,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/qbyxkpjjewivdvgtymy8",Apeel Sciences develops plant-derived shelf life extension technology for fresh produce that improves quality and reduces food waste.,1460,9,Late Stage Venture,"Aug 18, 2021",250000000,Series E,640100564,501-1000,"Andreessen Horowitz, Temasek Holdings, Invoca, Mirae Asset Global Investments, Viking Global Investors",30,1,Private,—
Pivot Bio,Berkeley,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/v1501883563/kgnb2rajvxapptb9imp5.jpg",Pivot Bio is an agricultural tech company improving the microbiome by taking nitrogen from the air and making it available for plants.,3034,5,Late Stage Venture,"Jul 19, 2021",430000000,Series D,616746489,101-250,"Temasek Holdings, DCVC, Breakthrough Energy Ventures, Generation Investment Management, Prelude Ventures",19,,Private,—
Farmers Business Network,San Carlos,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/a5lbarcteqqazfntk61a",Farmers Business Network is a farmer-to-farmer network developed to help farmers optimize their financial performances.,22622,8,Late Stage Venture,"Aug 3, 2020",250000000,Series F,570400000,501-1000,"Kleiner Perkins, Temasek Holdings, T. Rowe Price, GV, Bow Capital",15,3,Private,—
AppHarvest,Morehead,Kentucky,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/y0mu5vtlg9jzcldnohkc","AppHarvest is an AgTech company that specializes in the fields of agriculture, farming, and technology.",1021,8,IPO,"Apr 16, 2021",48991850,Post-IPO Equity,566300961,51-100,"Fidelity Management and Research Company, S2G Ventures, Endeavor Catalyst, Revolution, Revolution’s Rise of the Rest Seed Fund",9,2,Public,APPH
Plenty,San Francisco,California,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/bm3ypotf18h1lqojw4ao","Plenty is a vertical farming company that brings fresh, pesticide-free produce to customers.",19640,6,Late Stage Venture,"Oct 14, 2020",140000000,Series D,541000000,251-500,"DCVC, SoftBank Vision Fund, Innovation Endeavors, DCM Ventures, Group 11",11,1,Private,—
Nature’s Fynd,Chicago,Illinois,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/svtpgrvbrdpbrfw5ll98",Nature’s Fynd is a food company that makes nutritional vegan protein from a microbe.,2915,4,Late Stage Venture,"Jul 19, 2021",350000000,Series C,508000000,51-100,"Breakthrough Energy Ventures, SoftBank Vision Fund, EDBI, Hillhouse Capital Group, Generation Investment Management",17,,Private,—
Inari,Cambridge,Massachusetts,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/uskkpo2bqf1nqbz1xjud",Inari presents high performing plant varieties that improve the economic and environmental realities of production agriculture.,5255,4,Late Stage Venture,"May 12, 2021",208000000,Series D,382000000,101-250,"Alexandria Venture Investments, G Squared, EDBI, Pavilion Capital, 50 South Capital",10,,Private,—
Benson Hill,Olivette,Missouri,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/wazjj6nex4sfodnpybxx",Benson Hill is a provider of crop design platform to develop healthier and more sustainable food and ingredients.,385,11,IPO,"Oct 29, 2020",150000000,Series D,282324149,101-250,"GV, Alexandria Venture Investments, Louis Dreyfus Company, Collaborative Fund, Tao Capital Partners",24,1,Public,BHIL
Anuvia Plant Nutrients,Winter Garden,Florida,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vxlr2hrvhdzilmhziayi",Anuvia Plant Nutrients is an agricultural technology company developing a product to replace traditional fertilizer.,10834,4,Late Stage Venture,"Feb 23, 2021",103000000,Series C,241999996,51-100,"Generate Capital, Piva Capital, Pontifax AgTech, Florida Opportunity Fund, TPG Alternative & Renewable Technologies",8,,Private,—
